Feature,Importance
Idle Max,0.1849076
Idle Mean,0.13346969
Bwd Packet Length Std,0.12561278
Average Packet Size,0.077406436
act_data_pkt_fwd,0.06855953
Total Length of Fwd Packets,0.0516985
PSH Flag Count,0.048552144
Total Length of Bwd Packets,0.04783765
Bwd Header Length,0.037841897
Total Backward Packets,0.029637087
Fwd Packet Length Max,0.017763311
Fwd Packet Length Mean,0.017595261
Bwd Packet Length Min,0.015581469
Init_Win_bytes_backward,0.014931575
FIN Flag Count,0.014339422
Max Packet Length,0.010623993
Packet Length Mean,0.009008614
Flow Bytes/s,0.0089699095
Active Std,0.008259871
Bwd IAT Mean,0.007404322
Flow Duration,0.0074017695
Fwd IAT Total,0.005211857
Active Mean,0.005004378
Destination Port,0.0046842247
Fwd Header Length,0.0044132657
